RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
140,26              135,73                   70,131         16,399         71
149,23              159,68                   74,615         21,266         106
154,08              160,22                   77,038         20,796         94
144,82              171,83                   72,408         24,856         40
137,96              170,96                   68,982         25,494         45
138,97              149,99                   69,485         20,125         73
140,6               137,19                   70,299         16,723         76
136,02              136,48                   68,012         17,117         52
132,52              131,62                   66,26          16,341         54
147,21              181,36                   73,603         26,94          125
147,3               154,87                   73,652         20,305         74
139,14              163,14                   69,571         23,392         41
135                 154,24                   67,499         21,686         53
143,62              171,37                   71,812         24,89          102
144,92              152,32                   72,46          19,964         77
146,06              137,46                   73,028         16,108         77
146,8               124,7                    73,399         12,824         76
152,95              139,55                   76,475         15,768         98
159,58              153,62                   79,79          18,458         103
160,88              141,02                   80,441         15,146         85
168,77              161,38                   84,386         19,249         112
170,68              150,7                    85,338         16,34          92
165,59              152,15                   82,796         17,34          65
169,89              154,17                   84,946         17,306         100
169,41              138,57                   84,703         13,466         83
169,48              125,43                   84,74          10,174         85
173,55              133,55                   86,773         11,695         101
175,85              132,24                   87,926         11,078         96
179,12              135,87                   89,56          11,577         101
170,23              155,41                   85,115         17,573         54
175,2               160,2                    87,601         18,151         105
166,8               171,45                   83,401         22,013         54
167,2               151,24                   83,601         16,91          85
165,55              140,11                   82,776         14,333         77
166,36              129,4                    83,179         11,556         86
158,56              145,13                   79,281         16,461         52
160,99              139,6                    80,496         14,776         89
152,37              155,01                   76,184         19,706         46
151,82              137,21                   75,911         15,325         74
151,34              123,56                   75,672         11,972         74
144,18              136,68                   72,088         16,147         47
148,65              140,68                   74,327         16,588         90
152,32              140,6                    76,161         16,109         89
144,03              153,51                   72,016         20,372         43
151,03              164,61                   75,514         22,275         100
152,9               150,76                   76,45          18,578         83
145,29              158,83                   72,644         21,546         46
145,38              137,68                   72,688         16,248         73
139,45              142,16                   69,727         18,108         49
131,77              150,94                   65,886         21,263         39
142,05              175,93                   71,025         26,226         107
139,79              157,6                    69,897         21,926         62
151,57              188,66                   75,785         28,22          117
157,62              187,69                   78,812         27,219         100
154,42              171,68                   77,21          23,617         66
165,37              197,32                   82,684         28,66          121
172,2               199,39                   86,099         28,324         110
171,42              173,78                   85,711         22,018         83
172,99              158,84                   86,497         18,085         92
157,62              194,56                   78,81          28,938         25
160,92              180,46                   80,459         25,001         92
156,8               169,86                   78,402         22,866         64
157,2               148,8                    78,601         17,549         80
158,8               138,45                   79,401         14,761         85
157,45              128,41                   78,726         12,421         74
159,27              124,17                   79,635         11,134         86
158,36              116,22                   79,181         9,2597         76
163,07              128,13                   81,533         11,65          98
171,18              153,01                   85,592         16,854         114
172,79              143,36                   86,393         14,242         92
178,69              155,68                   89,344         16,584         110
170,85              166,52                   85,426         20,274         58
168,99              152,74                   84,497         17,062         78
159,87              167,62                   79,935         21,921         48
