RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
100,9               84,529                   50,45          8,5198         66
97,038              89,528                   48,519         10,252         35
93,908              90,23                    46,954         10,819         36
95,919              88,463                   47,96          10,126         55
94,68               82,677                   47,34          8,8342         43
95,595              77,96                    47,797         7,5407         51
95,145              71,992                   47,573         6,1049         46
93,252              72,513                   46,626         6,4718         40
90,846              74,464                   45,423         7,2604         37
92,49               74,603                   46,245         7,0896         52
93,179              70,613                   46,589         6,006          49
95,031              72,944                   47,516         6,3571         54
95,902              70,507                   47,951         5,6389         51
99,165              79,548                   49,582         7,4914         61
99,269              72,526                   49,635         5,723          50
99,11               67,359                   49,555         4,4509         49
102,47              78,033                   51,236         6,6993         63
103,41              75,569                   51,706         5,9656         55
99,986              81,596                   49,993         7,9007         38
98,738              78,064                   49,369         7,1738         45
103,15              90,725                   51,573         9,7881         67
100,5               90,188                   50,251         9,9843         41
95,94               96,174                   47,97          12,051         32
100,2               103,28                   50,099         13,296         65
100,92              93,25                    50,461         10,697         53
101,31              84,284                   50,654         8,4076         52
101,14              76,448                   50,572         6,4691         50
98,501              79,23                    49,25          7,4948         40
98,688              72,578                   49,344         5,8085         50
98,602              67,071                   49,301         4,4424         49
95,277              74,267                   47,638         6,6571         36
92,867              76,043                   46,434         7,4024         38
90,009              78,645                   45,004         8,4102         35
91,008              74,73                    45,504         7,3066         49
90,632              68,739                   45,316         5,8559         44
93,053              73,778                   46,526         6,8129         55
97,671              87,748                   48,836         9,7281         65
99,712              87,205                   49,856         9,3372         57
100,75              82,53                    50,374         8,0388         54
102,9               84,195                   51,452         8,1856         59
100,54              84,28                    50,271         8,5023         42
102,47              84,473                   51,237         8,309          58
103,41              80,397                   51,707         7,1725         55
101,99              78,219                   50,994         6,8062         46
101,49              73,157                   50,745         5,6032         49
102,8               73,466                   51,402         5,5162         56
105,2               78,748                   52,601         6,5367         61
108,3               86,16                    54,151         8,0022         65
108,76              80,238                   54,382         6,4638         56
108,17              75,858                   54,085         5,4435         52
105,15              80,989                   52,574         7,1037         42
102                 84,887                   51,002         8,4713         40
101,75              77,293                   50,877         6,604          50
102,53              74,202                   51,267         5,7338         54
101,97              70,453                   50,984         4,8672         49
103,72              73,479                   51,861         5,4044         58
100,76              78,452                   50,378         7,0185         40
97,412              83,14                    48,706         8,6085         37
93,986              86,524                   46,993         9,8829         35
94,487              78,899                   47,244         7,914          49
96,426              79,711                   48,213         7,8745         55
94,873              77,273                   47,437         7,4592         42
91,764              80,696                   45,882         8,7036         35
93,043              77,75                    46,522         7,8072         51
90,413              79,15                    45,207         8,4858         36
93,361              83,932                   46,681         9,3127         57
90,691              83,965                   45,346         9,6547         36
90,605              74,612                   45,302         7,3274         45
96,279              92,82                    48,14          11,17          68
95,994              82,647                   47,997         8,6624         47
95,745              74,857                   47,873         6,7461         47
95,527              68,874                   47,763         5,2777         47
92,586              73,89                    46,293         6,8991         36
96,263              83,536                   48,131         8,8511         61
96,73               76,787                   48,365         7,1055         50
96,889              70,396                   48,444         5,4879         49
96,778              65,297                   48,389         4,227          48
99,18               71,882                   49,59          5,573          58
97,533              72,076                   48,766         5,8273         43
93,841              79,169                   46,921         8,0621         34
94,361              73,446                   47,181         6,5664         49
97,316              80,177                   48,658         7,8797         59
98,401              77,182                   49,201         6,9953         53
96,851              75,612                   48,426         6,7966         43
93,745              79,688                   46,872         8,2039         36
94,277              73,878                   47,138         6,6848         49
93,492              69,939                   46,746         5,7982         44
93,806              65,551                   46,903         4,6621         48
94,33               63,249                   47,165         4,0209         49
94,289              59,372                   47,144         3,0569         47
94,253              56,441                   47,126         2,3288         47
94,221              54,223                   47,111         1,7782         47
91,693              61,292                   45,847         3,8612         37
91,982              58,728                   45,991         3,1843         47
93,234              61,179                   46,617         3,6405         51
96,83               73,719                   48,415         6,3261         61
96,226              69,506                   48,113         5,3483         46
94,198              71,257                   47,099         6,0395         40
97,173              78,606                   48,587         7,5049         59
98,276              76,066                   49,138         6,732          53
94,992              80,83                    47,496         8,3336         36
96,118              77,564                   48,059         7,3762         52
96,603              72,371                   48,302         6,0174         50
95,278              70,993                   47,639         5,8385         43
95,118              65,713                   47,559         4,5386         47
96,478              67,296                   48,239         4,7642         53
97,418              66,763                   48,709         4,5133         52
97,991              64,826                   48,996         3,9577         51
96,742              65,24                    48,371         4,2172         44
97,65               65,105                   48,825         4,0701         52
96,443              65,257                   48,222         4,2588         44
96,388              61,192                   48,194         3,2495         48
95,589              60,737                   47,795         3,2356         45
98,141              68,982                   49,07          4,978          58
96,123              71,066                   48,062         5,7511         41
94,358              71,494                   47,179         6,0787         41
96,063              73,089                   48,032         6,2643         54
95,305              69,477                   47,653         5,4561         45
94,892              65,467                   47,446         4,5052         46
96,281              67,21                    48,14          4,7674         53
96,745              64,535                   48,373         4,0405         50
96,402              61,695                   48,201         3,3736         47
98,352              67,096                   49,176         4,4799         56
101,06              74,793                   50,529         6,0659         60
101,68              71,507                   50,838         5,1672         53
101,72              66,522                   50,858         3,9159         51
99,252              71,232                   49,626         5,4015         41
98,095              69,878                   49,048         5,2076         45
