RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
101,08              55,248                   50,538         1,1775         52
101,44              55,715                   50,721         1,2486         52
101,51              54,781                   50,756         1,0062         51
101,32              54,436                   50,661         0,94363        50
101,16              54,071                   50,579         0,87305        50
101,26              53,672                   50,631         0,76012        51
100,85              54,339                   50,427         0,97792        49
101                 54,005                   50,499         0,87659        51
100,62              54,44                    50,312         1,0322         49
101,05              55,308                   50,523         1,1962         52
100,91              54,569                   50,457         1,0278         50
